source_file,csv_name,C:\Users\kschi\OneDrive\Desktop\Placards\TEST_SVGs\264BOAT_clean.svg,area,area_est,axis,bbox_area_sum,bin_center,check,commands,count,coverage_percent,def_id,file,fill,has_HV,href,id,index,kind_prop,opacity,rank,stroke,stroke_width,tag,value,vb_area
264BOAT_clean,colors.csv,,,,,,,,,56,,,,,,,,,fill,,,,,,none,
264BOAT_clean,colors.csv,,,,,,,,,24,,,,,,,,,stroke,,,,,,#411f9e,
264BOAT_clean,colors.csv,,,,,,,,,21,,,,,,,,,stroke,,,,,,#000000,
264BOAT_clean,colors.csv,,,,,,,,,10,,,,,,,,,stroke,,,,,,#00ff00,
264BOAT_clean,colors.csv,,,,,,,,,2,,,,,,,,,fill,,,,,,#f8991e,
264BOAT_clean,colors.csv,,,,,,,,,1,,,,,,,,,stroke,,,,,,#f8991e,
264BOAT_clean,coords_hist.csv,,,,x,,-100.0,,,1,,,,,,,,,,,,,,,,
264BOAT_clean,coords_hist.csv,,,,x,,0.0,,,109,,,,,,,,,,,,,,,,
264BOAT_clean,coords_hist.csv,,,,x,,100.0,,,1,,,,,,,,,,,,,,,,
264BOAT_clean,coords_hist.csv,,,,x,,300.0,,,8,,,,,,,,,,,,,,,,
264BOAT_clean,coords_hist.csv,,,,x,,500.0,,,1,,,,,,,,,,,,,,,,
264BOAT_clean,coords_hist.csv,,,,y,,-100.0,,,4,,,,,,,,,,,,,,,,
264BOAT_clean,coords_hist.csv,,,,y,,0.0,,,74,,,,,,,,,,,,,,,,
264BOAT_clean,coords_hist.csv,,,,y,,100.0,,,41,,,,,,,,,,,,,,,,
264BOAT_clean,coords_hist.csv,,,,y,,500.0,,,1,,,,,,,,,,,,,,,,
264BOAT_clean,elements.csv,,,0.35,,,,,M:1 V:5 H:5 Z:1,,,,,,1,,font_5_41,0,,,,,,path,,
264BOAT_clean,elements.csv,,,0.46,,,,,M:2 V:3 H:6 C:3 L:2 Z:1,,,,,,1,,font_5_53,1,,,,,,path,,
264BOAT_clean,elements.csv,,,0.48,,,,,M:2 H:5 L:5 C:1 Z:1,,,,,,1,,font_5_36,2,,,,,,path,,
264BOAT_clean,elements.csv,,,0.40,,,,,M:1 V:4 H:4 L:2 Z:1,,,,,,1,,font_5_49,3,,,,,,path,,
