source_file,csv_name,C:\Users\kschi\OneDrive\Desktop\Placards\TEST_SVGs\020NOBL_clean.svg,area,area_est,axis,bbox_area_sum,bin_center,check,commands,count,coverage_percent,def_id,file,fill,has_HV,href,id,index,kind_prop,opacity,rank,stroke,stroke_width,tag,value,vb_area
020NOBL_clean,colors.csv,,,,,,,,,700,,,,,,,,,fill,,,,,,none,
020NOBL_clean,colors.csv,,,,,,,,,641,,,,,,,,,stroke,,,,,,#0000ff,
020NOBL_clean,colors.csv,,,,,,,,,27,,,,,,,,,stroke,,,,,,#000000,
020NOBL_clean,colors.csv,,,,,,,,,16,,,,,,,,,stroke,,,,,,#ff00ff,
020NOBL_clean,colors.csv,,,,,,,,,16,,,,,,,,,stroke,,,,,,#00ff00,
020NOBL_clean,colors.csv,,,,,,,,,1,,,,,,,,,fill,,,,,,black,
020NOBL_clean,coords_hist.csv,,,,x,,-100.0,,,201,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,x,,0.0,,,144,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,x,,100.0,,,130,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,x,,200.0,,,74,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,x,,300.0,,,229,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,x,,400.0,,,7,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,x,,600.0,,,1,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,y,,-200.0,,,169,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,y,,-100.0,,,75,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,y,,0.0,,,167,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,y,,100.0,,,113,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,y,,200.0,,,87,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,y,,300.0,,,174,,,,,,,,,,,,,,,,
020NOBL_clean,coords_hist.csv,,,,y,,500.0,,,1,,,,,,,,,,,,,,,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,clip_1,0,,,,,,clipPath,,
020NOBL_clean,elements.csv,,,100875.38,,,,,M:1 H:2 V:1 Z:1,,,,,,1,,,1,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,clip_2,2,,,,,,clipPath,,
020NOBL_clean,elements.csv,,,220739.26,,,,,M:1 V:2 L:3 H:2,,,,,,1,,,3,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,clip_3,4,,,,,,clipPath,,
020NOBL_clean,elements.csv,,,969287.04,,,,,M:1 H:2 V:2,,,,,,1,,,5,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,clip_4,6,,,,,,clipPath,,
020NOBL_clean,elements.csv,,,969287.04,,,,,M:1 H:2 V:2,,,,,,1,,,7,,,,,,path,,
020NOBL_clean,elements.csv,,,0.47,,,,,M:1 C:3 V:2 H:2 Z:1,,,,,,1,,font_5_38,8,,,,,,path,,
020NOBL_clean,elements.csv,,,0.55,,,,,M:2 H:5 L:4 Z:1,,,,,,1,,font_5_36,9,,,,,,path,,
020NOBL_clean,elements.csv,,,0.48,,,,,M:1 C:2 V:4 H:2 Z:1,,,,,,1,,font_5_56,10,,,,,,path,,
020NOBL_clean,elements.csv,,,0.47,,,,,M:1 H:4 V:4 Z:1,,,,,,1,,font_5_55,11,,,,,,path,,
020NOBL_clean,elements.csv,,,0.31,,,,,M:1 H:6 V:6 Z:1,,,,,,1,,font_5_44,12,,,,,,path,,
020NOBL_clean,elements.csv,,,0.57,,,,,M:2 C:2 Z:1,,,,,,0,,font_5_50,13,,,,,,path,,
020NOBL_clean,elements.csv,,,0.48,,,,,M:1 H:4 L:2 V:4 Z:1,,,,,,1,,font_5_49,14,,,,,,path,,
020NOBL_clean,elements.csv,,,0.10,,,,,M:2 H:4 V:4 Z:1,,,,,,1,,font_5_29,15,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,clip_6,16,,,,,,clipPath,,
020NOBL_clean,elements.csv,,,969287.04,,,,,M:1 H:2 V:2,,,,,,1,,,17,,,,,,path,,
020NOBL_clean,elements.csv,,,0.38,,,,,M:1 H:3 V:3 Z:1,,,,,,1,,font_5_47,18,,,,,,path,,
020NOBL_clean,elements.csv,,,0.46,,,,,M:3 C:7 H:6 V:4 Z:1,,,,,,1,,font_5_37,19,,,,,,path,,
020NOBL_clean,elements.csv,,,0.38,,,,,M:1 H:6 V:6 Z:1,,,,,,1,,font_5_40,20,,,,,,path,,
020NOBL_clean,elements.csv,,,0.52,,,,,M:1 C:2 V:4 H:3 Z:1,,,,,,1,,font_5_42,21,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,M:1 Z:1,,,,,,0,,font_5_3,22,,,,,,path,,
020NOBL_clean,elements.csv,,,0.38,,,,,M:1 H:5 V:5 Z:1,,,,,,1,,font_5_41,23,,,,,,path,,
020NOBL_clean,elements.csv,,,0.51,,,,,M:2 C:3 H:6 V:3 L:2 Z:1,,,,,,1,,font_5_53,24,,,,,,path,,
020NOBL_clean,elements.csv,,,0.55,,,,,M:1 H:5 V:4 L:3 Z:1,,,,,,1,,font_5_48,25,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,clip_7,26,,,,,,clipPath,,
020NOBL_clean,elements.csv,,,969287.04,,,,,M:1 H:2 V:2,,,,,,1,,,27,,,,,,path,,
020NOBL_clean,elements.csv,,,0.32,,,,,M:1 V:3 H:3 Z:1,,,,,,1,,font_8_47,28,,,,,,path,,
020NOBL_clean,elements.csv,,,0.48,,,,,M:2 H:5 L:5 C:1 Z:1,,,,,,1,,font_8_36,29,,,,,,path,,
